xxxx;;;;;;;;;;;;;;x
YES;拥有;Oui;Ja;;S?;;;;;;;;x,
very_easy_ai;难度：非常简单;Niveau de difficult?: Tr鑣 facile;Schwierigkeitsstufe sehr leicht;Bardzo 砤twy;Dificultad muy f醕il;Molto facile;Nagyon k鰊ny?Obt頌nost: velmi snadn?;;;;;x,,,,,,
easy_ai;难度：简单;Niveau de difficult?: Facile;Schwierigkeitsstufe Leicht;^atwy;Dificultad f醕il;Facile;K鰊ny?Obt頌nost: snadn?;;;;;x,,,,,,
hard_ai;难度：困难;Niveau de difficult?: Difficile;Schwierigkeitsstufe Schwer;Trudny;Dificultad dif韈il;Difficile;Neh閦;Obt頌nost: t鞛k?;;;;;x,,,,,,
very_hard_ai;难度：非常困难;Niveau de difficult?: Tr鑣 difficile;Schwierigkeitsstufe Sehr schwer;Bardzo trudny;Dificultad muy dif韈il;Molto difficile;Nagyon neh閦;Obt頌nost: velmi t鞛k?;;;;;x,,,,,,
CORE_MP_PAUSED_NAME;$PLAYER$暂停了游戏。;Mis en pause par $PLAYER$.;Pause durch $PLAYER$.;Gra zatrzymana przez gracza $PLAYER$.;En pausa por $PLAYER$.;Messo in pausa da $PLAYER$.;A j醫閗ot meg醠l韙otta: $PLAYER$.;Pozastaveno hr徼em $PLAYER$.;;;;;;x,,,,,,
CORE_MP_PAUSED;如果无人取消暂停，暂停时间还剩$TIME$……;$TIME$ restant avant que quiconque puisse continuer?$TIME$ bis jeder die Pause beenden kann....;Pozosta硂 $TIME$ do wznowienia gry...;$TIME$ hasta que alguien pueda reanudar...;Impossibile riprendere a giocare per: $TIME$.;$TIME$ m鷏va b醨ki elind韙hatja a j醫閗ot.;$TIME$ zb齰? ne?bude moci n靕do zru歩t pauzu...;;;;;;x,,,,,
OOS_TITLE;错误!;Erreur !;Fehler!;B彻d!;rror!;Errore!;Hiba!;Chyba!;;;;;;x,,,,,,
OOS_DESC;游戏无法同步!;Le jeu n'est plus synchronis?!;Spiel ist nicht l鋘ger synchron!;Brak synchronizacji w grze!;l juego ya no est?sincronizado!;Il gioco non ?pi?sincronizzato!;A j醫閗osok nincsennek szinkronban!;Hra nen?nad醠e synchronizov醤a!;;;;;;x,,,,,,
NO_CANNON;我们还不知道如何建造加农炮。;Vous n'avez pas encore appris ?construire des canons.;Wir haben noch nicht gelernt, wie man Kanonen herstellt.;Jeszcze nie wiemy, jak wytwarza?armaty.;A鷑 no sabemos c髆o construir un ca耋n.;Non sappiamo ancora come produrre i cannoni.;M間 nem tudunk 醙y鷎at k閟z韙eni.;Je歵?neum韒e vyr醔靦 kan髇y.;;;;;;x,,,,
FE_TUTORIAL;教程;Didacticiel;Einf黨rung;Samouczek;Tutorial;Tutorial;Oktat醩;趘odn?栳st;;;;;;x,,,,,,
base_values;基本加成;Valeur de base;Basiswert;Stawka podstawowa;Valor base;Valore di base;Alap閞t閗;Z醟ladn?hodnota;;;;;;x,,,,,,
city;城市;Ville;Stadt;Miasto;Ciudad;Citt?V醨os;M靤to;;;;;;x,,,,,,
PROV_BASETAX_DESCR;这是该省份发展为一个完整城市时能提供的基础税收值。;Ceci est la valeur de base de l'imp魌 que cette province fournira lorsqu'elle se sera d関elopp閑 et qu'elle prendra la forme d'une ville ?part enti鑢e.;Dies ist der Basiswert der Steuern, die diese Provinz zahlen wird, wenn sie zu einer Stadt ausgebaut wurde. ;Jest to stawka podstawowa podatku z tej prowincji, kiedy na jej terenie powstanie w pe硁i rozwini阾e miasto.;蓅te es el valor base del impuesto qye proporcionar?esta provincia cuando haya desarrollado una ciudad plenamente desarrollada.;Questo ?il valore di base delle tasse che questa provincia fornir?quando si sar?sviluppata in una citt?completa.;Ennyi ad骲ev閠elt hozna ez a provincia, ha egy teljesen kifejlett v醨os lenne rajta.;Toto je z醟ladn?hodnota da騩v閔o v齨osu, kter?bude tato provincie poskytovat, a?vznikne plnohodnotn?m靤to.;;;;;;x
NO_EFFECT;没有效果;Aucun effet;Kein Effekt;Brak efekt體;Ning鷑 efecto;Nessun effetto;Nincs hat醩a;Bez efektu;;;;;;x,,,
NONE_AVAILABLE;不可用。;Aucun n'est disponible.;Keine verf黦bar.;Brak dost阷nych.;Ninguno disponible.;Non disponibili;Nem 閞het?el.;Nen?k燿ispozici.;;;;;;x,,
EXPIRES_ON;于$DATE$到期;Expire le $DATE$;L鋟ft aus am $DATE$;Wygasa: $DATE$;Expira el $DATE$;Scade il $DATE$;Ekkor j醨 le: $DATE$;Vypr氻 dne $DATE$;;;;;;x,,,
FINISHED_ON;于$DATE$完成;Termin?le $DATE$.;Fertigstellung am $DATE$.;Zako馽zenie: $DATE$.;Terminado el $DATE$.;Finito il $DATE$.;Ekkor k閟z黮 el: $DATE$.;Dokon鑕no dne $DATE$.;;;;;;x,,,
FE_TRIALS;尝试;Essais;Verhandlungen;Negocjacje;Pruebas;Sfide;Pr骲醟;Soudy;;;;;;x,,,
CD_AGREEMENTS;与$LIST$达成交易。;Accord commercial avec : $LIST$.;Handelsabkommen mit $LIST$.;Umowa handlowa z $LIST$.;Acuerdo comercial con $LIST$.;Accordo commerciale con $LIST$.;Kereskedelmi egyezm閚y vele: $LIST$.;Obchodn?dohoda s $LIST$.;;;;;;x,,,
CD_ISEMBARGOED;被$LIST$贸易禁运。;Victime d'un embargo de : $LIST$.;Unter Handelsblockade durch $LIST$.;Embargo na硂縪ne przez: $LIST$.;Bajo el embardo de $LIST$.;Embargo da: $LIST$.;Embarg髏 vezetett be $LIST$.;Pod embargem $LIST$.;;;;;;x,,,
CD_ISEMBARGOING;对$LIST$实行贸易禁运。;Fait subir un embargo ?: $LIST$.;Handelsblockade von $LIST$.;Nak砤da embargo na: $LIST$.;Ejerciendo embargo sobre $LIST$.;Embargo su: $LIST$.;Embarg?ellene: $LIST$.;Embargo na $LIST$.;;;;;;x,,,
CD_GIVESACCESS;给予$LIST$军事通行权。;Accorde l'acc鑣 militaire ?: $LIST$.;Gew鋒rt milit鋜isches Durchmarschrecht an $LIST$.;Zgadza si?na przemarsz wojsk: $LIST$.;Ha concedido acceso militar a $LIST$.;Garantisce l'accesso militare a: $LIST$.;Katonai hozz醘閞閟t biztos韙 nekik: $LIST$.;Poskytuje vojensk?pstup $LIST$.;;;;;;x,,,
CD_HASACCESS;拥有$LIST$的军事通行权。;A un acc鑣 militaire par : $LIST$.;Hat milit鋜isches Durchmarschrecht von $LIST$.;Otrzyma?zgod?na przemarsz wojsk przez $LIST$.;Tiene acceso militar por $LIST$.;Ha l'accesso militare a: $LIST$.;Katonai hozz醘閞閟sel rendelkeznek a ter黮et閔ez: $LIST$.;M?vojensk?pstup skrze $LIST$.;;;;;;x,,,
PW_RESET;重设;R閕nitialiser;Zur點ksetzen;Resetuj;Reiniciar;Ripristina;趈raind韙醩t ig閚yel;Resetovat;;;;;;x,,,
OURWARALLY;战时同盟;Alli?dans une guerre;Verb黱det in einem Krieg;Sprzymierze馽y w wojnie;Aliado(s) en una guerra;Alleati in guerra;Sz鰒ets間es h醔or鷅an;Spojenci ve v醠ce;;;;;;x,,,
CONFIRMMISSIONTEXT;你确定往要向$PROV$派遣一个传教士？;蕋es-vous s鹯 de vouloir envoyer un missionnaire dans la province $PROV$ ?;Sind Sie sicher, dass Sie einen Missionar nach $PROV$ schicken wollen?;Jeste?pewien, 縠 chcesz wys砤?misjonarza do prowincji $PROV$?;縎eguro que quieres enviar un misionero a $PROV$?;Sicuro di voler inviare un missionario nella provincia di $PROV$?;Biztos vagy benne, hogy hitt閞韙鮧et k黮desz $PROV$ tartom醤yra?;Skute鑞?chcete vyslat mision狲e do provincie $PROV$?;;;;;;x
COST_TIME;消耗: $AMOUNT$金钱\n 需时：$TIME$天。;Co鹴 : $AMOUNT$ ducats \nDur閑 : $TIME$ jours.;Kosten: $AMOUNT$ Dukaten \nZeit: $TIME$ Tage.;Koszt: $AMOUNT$ dukat體 \nCzas: $TIME$ dni.;Coste: $AMOUNT$ Ducados \nTiempo: $TIME$ d韆s;Costo: $AMOUNT$ ducati \nTempo: $TIME$ Giorni.;K鰈ts間: $AMOUNT$ duk醫 \nId? $TIME$ nap.;Cena: $AMOUNT$ duk醫?\nDoba: $TIME$ dn?;;;;;;x,,,
ADD_SUB_UNIT_EFFECT;在$WHERE$得到$UNIT$。;Envoyer $UNIT$ vers $WHERE$.;Erh鋖t $UNIT$ in $WHERE$.;Get $UNIT$ in $WHERE$.;Llevar $UNIT$ a $WHERE$.;Porta $UNIT$ a $WHERE$.;Get $UNIT$ in $WHERE$.;Z韘kat $UNIT$ v $WHERE$.;;;;;;x,,,
CHANGE_CONTROLLER_EFFECT;$WHO$控制了$WHERE$。\n;$WHO$ prend le contr鬺e de $WHERE$.\n;$WHO$ 黚ernimmt die Kontrolle 黚er $WHERE$.;$WHO$ przejmuje kontrol?nad $WHERE$.;$WHO$ toma el control de $WHERE$.\n;$WHO$ assume il comando di $WHERE$.;$WHO$ 醫veszi az ir醤y韙醩t $WHERE$ felett.;$WHO$ p鴈b韗?kontrolu nad $WHERE$.;;;;;;x,,,
WAR_EFFECT;向$WHO$宣战。\n;D閏larer la guerre ?$WHO$.\n;Erkl鋜t $WHO$ den Krieg.;Wypowiedz wojn?$WHO$;Declara la guerra a $WHO$.\n;Dichiarare guerra a $WHO$;Had鼁enet neki: $WHO$;Vyhl醩it v醠ku $WHO$;;;;;;x,
CONFIRMSAVETITLE;储存游戏;Sauvegarder;Speicherstand;Zapisz gr?Guardar partida;Salvare partita;Ment閟;Ulo瀒t hru;;;;;;x,
CONFIRMSAVETEXT;你确定要覆盖$NAME$吗？;蕋es-vous s鹯 de vouloir 閏raser le fichier $NAME$ ?;Sind Sie sicher, dass Sie die Datei $NAME$ 黚erschreiben m鯿hten?;Czy na pewno chcesz nadpisa?plik $NAME$?;縎eguro que quieres sobrescribir el archivo $NAME$?;Sovrascrivere il file $NAME$?;Biztos vagy benne, hogy fel黮 szeretn閐 韗ni a k鰒etkez鮰: $NAME$?;Skute鑞?chcete p鴈psat soubor $NAME$?;;;;;;x
PW_TRADE_VALUE;贸易价值:;Valeur commerciale :;Handelswert:;Warto滄 handl.:;Valor comercial:;Valore di scambio:;Ker. 閞t閗:;Hodnota obchodu:;;;;;;x,
PROV_TRADE_VALUE;贸易中心贡献的价值。;Montant g閚閞?pour le Centre de Commerce;Zum Handelszentrum beigesteuerter Wert.;Warto滄 posiadanych udzia丑w w o渞odku handlu.;Valor que contribuye al centro de comercio.;Valore donato al centro del commercio.;Az p閚z a Kereskedelmi K鰖pontba ker黮t.;Hodnota p鴌sp韛aj韈?obchodn韒u centru.;;;;;;x,
NO_SEPARATE_PEACE;战时非联盟领导者的国家之间无法和谈.;Vous ne pouvez pas n間ocier de paix s閜arant deux partenaires mineurs de la guerre.;Sie k鰊nen keinen Seperatfrieden zwischen zwei Junior-Partnern in einem Krieg schlie遝n.;Nie mo縠sz negocjowa?oddzielnego pokoju pomi阣zy dwoma podrz阣nymi partnerami.;No puedes negociar una paz separada entre dos socios menores en una guerra.;Non puoi negoziare una pace separata fra due membri sottoposti in una guerra.;Nem kezdem閚yezhetsz egyedi b閗et醨gyal醩okat.;Dva podzen?partne鴌 (v alianci) spolu nemohou uzavt separ醫n?m韗.;;;;;;x,
DIPCHANCE_VLIKELY;很有可能;Tr鑣 probablement;Sehr wahrscheinlich;Bardzo prawdopodobne;Muy probable;Molto probabile;Nagyon sz韛esen;Velmi pravd靝odobn?;;;;;x,
DIPCHANCE_IMPOSSIBLE;绝不可能;Impossible;Unm鰃lich;Niemo縧iwe;Imposible;Impossibile;Lehetetlen;Nemo瀗?;;;;;x,
DIPCHANCE_VUNLIKELY;不太可能;Tr鑣 improbable;Sehr unwahrscheinlich;Bardzo nieprawdopodobne;Muy poco probable;Molto improbabile;Egyeltal醤 nem sz韛esen;Velmi nepravd靝odobn?;;;;;x,
DIPCHANCE_UNLIKELY;很不可能;Improbable;Unwahrscheinlich;Nieprawdopodobne;Poco probable;Improbabile;Nem sz韛esen;Nepravd靝odobn?;;;;;x,
DIPCHANCE_MAYBE;也许可能;Peut-阾re;Vielleicht;Mo縧iwe;Quiz?Forse;Tal醤;Mo瀗?;;;;;x,
DIPCHANCE_LIKELY;有可能;Probable;Wahrscheinlich;Prawdopodobne;Probable;Probabile;Sz韛esen;Pravd靝odobn?;;;;;x,
M_GOTO_BUTTON;寻找省份;Trouver la province;Provinz finden;Znajd?prowincj?Encontrar provincia;Trovare provincia;Provinciakeres閟;Naj韙 provincii;;;;;;x,
M_LEDGER_BUTTON;帐目;Statistiques;Statistik;Statystyki;Memoriales;Statistiche;F鮧鰊yv;阼etn?kniha;;;;;;x,
M_MENU_BUTTON;菜单;Menu;Menu;Menu;Men?Menu;Men?Nab韉ka;;;;;;x,
M_HOME_BUTTON;前往首都;Se rendre ?la capitale de la province;Zur Hauptstadt;Id?do prowincji sto砮cznej;Ir a provincia capital;Andare alla capitale della provincia;Ugr醩 a f鮬rovinci醨a;P鴈j韙 do provincie hlavn韍o m靤ta;;;;;;x,
ONLY_HOST_SPEED;只有主机可以改变游戏速度。;Seul l'h魌e peut modifier la vitesse du jeu.;Nur der Host kann die Spielgeschwindigkeit 鋘dern.;Tylko host mo縠 zmieni?pr阣ko滄 gry.;Solo el anfitri髇 puede cambiar la velocidad del juego.;Solo l'host pu?modificare la velocit?di gioco.;Csak a hoszt 醠l韙hatja be a j醫閗 sebess間閠.;Pouze hostitel m鶠e zm靚it nastaven?rychlosti hry.;;;;;;x,,,
PW_GROWTH;增长;Croissance;Wachstum;Wzrost;Crecimiento;Crescita;N鰒eked閟;R鵶t;;;;;;x,,,,
NOPORTOTHERCONTINENT;这个省不能通过任何方式连接到我们的首都.;Cette province ne peut 阾re atteinte via aucun port reli??notre capitale.;Diese Provinz kann von keinem Hafen mit Landverbindung zur Hauptstadt erreicht werden.;Ta prowincja nie jest dost阷na poprzez 縜den port po彻czony z nasz?stolic?;No se puede llegar a esta provincia a trav閟 de ninguno de los puertos conectados con nuestra capital.;Questa provincia ?irraggiungibile tramite porti connessi alla nostra capitale.;Ez a provincia nem k鰖el韙het?meg egy olyan kik鰐鮪 kereszt黮 sem, mely 鰏sze van k鰐ve a f鮬rovinci醤kkal.;Do t閠o provincie se nelze dostat prost鴈dnictv韒 炨dn閔o pstavu pstupn閔o z爊a歟ho hlavn韍o m靤ta.;;;;;;x,,,
RELATION_CHANGE_VALUE;估计每年的变化:;Changement annuel estim?:;Gesch鋞zte j鋒rliche Ver鋘derung;Przewidywana zmiana (rocznie):;Cambio anual estimado:;Cambiamento annuale stimato:;Becs黮t 関es bev閠el;Odhadovan?ro鑞?zm靚a:;;;;;;x,,,,
TAG_CHANGE;国家改变为$NEW$。\n;Le pays devient $NEW$.\n;Nation wechselt zu $NEW$.\n;Pa駍two zmienia na $NEW$.\n;El pa韘 cambia a $NEW$.\n;Il paese cambia in $NEW$.;Az 醠lamforma megv醠tozott erre: $NEW$.\n;Zem?se m靚?na $NEW$.\n;;;;;;x,,,,
PV_OCCUPIED_BY;被$NAME$占领;occup閑 par $NAME$;Besetzt von $NAME$;Zaj阾a przez $NAME$;ocupado por $NAME$;Occupato da $NAME$;Elfoglalta: $NAME$;Okupov醤o $NAME$;;;;;;x,,,,
BG_COUNTRY;国家：;PAYS :;NATION:;PA裇TWO:;PA蚐:;PAESE:;ORSZ罣:;ZEM?;;;;;;x,,,,
LOAD_GAME_FAILED;读取游戏失败。;Le chargement du jeu a 閏hou?;Konnte Spiel nicht laden.;Nie uda硂 si?wczyta?gry.;Error al cargar la partida.;Impossibile caricare la partita.;A j醫閗 bet鰈t閟e nem siker黮t;Hru nelze nahr醫.;;;;;;x,,,,
MP_FEW_PLAYERS;你需要一个以上的玩家才能开始游戏。;Il vous faut plus d'un joueur pour commencer une partie.;Man braucht mehr als einen Spieler, um ein Spiel zu starten.;Do gry potrzeba wi阠ej ni?jednego gracza.;Hace falta m醩 de un jugador para iniciar una partida.;Ti serve pi?di un giocatore per iniziare una partita.;Egyn閘 t鯾b j醫閗osra van sz黭s間ed ahhoz, hogy elkezdd a j醫閗ot.;Spu歵靚?hry vy瀉duje v韈 ne?jednoho hr徼e.;;;;;;x,,
NATIONALISM_LASTS;民族主义会持续到;Le nationalisme dure jusqu'?Nationalismus dauert bis;Nacjonalizm trwa do;El nacionalismo dura hasta;Il nazionalismo dura fino a;A nacionalizmus fenn醠l, am韌;Nacionalismus z鵶tane do;;;;;;x,,,
LEDGER_NO_GRAPH_DATA;资料不足，无法生成图表。;Il n'y a pas encore suffisamment de donn閑s pour g閚閞er ce graphique.;Es sind noch zuwenig Daten verf黦bar, um dieses Diagramm zu erschaffen;Nie ma wystarczaj筩ych danych, aby wygenerowa?wykres.;A鷑 no hay datos suficientes para generar este gr醘ico.;Non ci sono ancora abbastanza dati per generare questo grafico.;M間 nem 醠l elegend?adat a rendelkez閟edre a grafikonok k閟z韙閟閔ez.;Graf nelze vygenerovat (nedostatek dat).;;;;;;x,,
MENU_MESSAGES_RESET;重设为默认;R閕nitialiser les param鑤res par d閒aut;Grundeinst.;Ustawienia domy渓ne;Restrablecer valores predeterminados;Ripristina i predefiniti;Alap閞t閗ek vissza醠l韙醩a;Resetovat nastaven?(obnovit v齝hoz?nastaven?;;;;;;x,,,,
COL_CONST_TIP_FROM_SHIP;殖民队将在$DATE$到达$LOCATION$。;Ce colon atteindra $LOCATION$ le $DATE$.;Dieser Kolonist erreicht $LOCATION$ am $DATE$.;Kolonista przyb阣zie do $LOCATION$ w dniu $DATE$.;Este colono llegar?a $LOCATION$ el $DATE$.;Questo colono raggiunger?$LOCATION$ il $DATE$.;A gyarmatosok v醨hat骯n ekkor 閞keznek $LOCATION$ tartom醤yra: $DATE$.;Kolonista doraz?do $LOCATION$ k datu $DATE$.;;;;;;x,,,
STRAITS;狭窄的$SEA$海峡将该省份连接到$PROV$;L'閠roit d閠roit de $SEA$ relie cette province ?la province $PROV$;Die schmale Stra遝 黚er $SEA$ verbindet diese Provinz mit $PROV$;W箂ka cie渘ina na: $SEA$ 彻czy j?z prowincj?$PROV$;El estrecho en $SEA$ conecta esta provincia con $PROV$;Il piccolo stretto che attraversa $SEA$ collega questa provincia a $PROV$;A tengeri szoros $SEA$ tengeren 鰏szek鰐i ezt a provinci醫 a k鰒etkez鮲el:  $PROV$;婍je vedouc?skrz $SEA$ spojuje tuto provincii s $PROV$;;;;;;x,,,,
STRAITSDESC;狭窄的海峡允许陆军不使用运输船直接通过。此区域出现敌军舰队的话则会阻止陆军穿行。;Les arm閑s peuvent franchir les d閠roits 閠roits sans utiliser de navires de transport. Cependant, une flotte ennemie peut en emp阠her la travers閑.;Schmale Meeresarme k鰊nen von Armeen ohne die Hilfe von Transportern 黚erquert werden. Allerdings k鰊nen feindliche Flotten die 躡erquerung blockieren.;W箂kie cie渘iny mog?by?przekraczane przez armie bez konieczno渃i u縴cia statk體 transportowych. Flota nieprzyjaciela mo縠 jednak blokowa?przepraw?;Los ej閞citos pueden cruzar estrechos sin la necesidad de transportes. Sin embargo, una flota enemiga puede bloquear el paso.;I piccoli stretti possono essere attraversati dagli eserciti senza l'utilizzo di mezzi. Tuttavia, una flotta nemica potrebbe bloccarne il passaggio.;A szorosokon sz醠l韙骽aj?n閘k黮 醫kelhetnek a csapataid, viszont az ellens間es flotta nem tud 醫haladni rajtuk.;婍ji lze p鴈kro鑙t s爌ozemn韒 vojskem i bez lo飐tva. Ale neptelsk?flotila m鶠e p鴈chod blokovat.;;;;;;x
SAVE_DONE;储存完成;Done;Fertig;Zrobione;Hecho;Fatto;K閟z;Hotovo;;;;;;x,,,,
FOR_PLAYER;玩家:;Pour le joueur :;F黵 Spieler:;Dla gracza:;Por el jugador:;Per giocatore:;J醫閗osnak:;V歟m hr徼鵰:;;;;;;x
FOR_AI;电脑:;Pour l'IA :;F黵 KI:;Dla komputera:;Por la IA:;Per CPU:;Az AI-nak:;UI:;;;;;;x
MODIFIER_TECHNOLOGY_COST;科研花费;Co鹴 de la technologie;Technologiekosten;;Coste tecnol骻ico;;;;;;;;;x
MODIFIER_REINFORCE_SPEED;增援速度;Accro顃re la vitesse;Verst鋜kungsgeschwindigkeit;;Reforzar velocidad;;;;;;;;;x
UV_SHIPS;舰船：;Navires :;Schiffe:;;Barcos:;;;;;;;;;x
BATTLES_SCORE;战斗：;Batailles :;Schlachten: ;;Batallas: ;;;;;;;;;x
ALLIANCE_EFFECT;与$WHO$同盟。\n;Alliance avec $WHO$.\n;B黱dnis mit $WHO$.;;Alianza con $WHO$.\n;;;;;;;;;x
KILL_RULER_EFFECT;国家领导人$NAME$去世了。\n;Le dirigeant actuel, ($NAME$), va mourir.\n;Der aktuelle Herrscher ($NAME$) wird bald sterben.;;El actual gobernante ($NAME$) morir?\n;;;;;;;;;x
KILL_LEADER_EFFECT;将领$NAME$去世了。\n;Le chef $NAME$ va mourir.\n;Anf黨rer $NAME$ wird bald sterben.;;El l韉er $NAME$ morir?\n;;;;;;;;;x
SPAWN_EVENT;将发生“$WHICH$”事件。\n;obtiendra l'関鑞ement '$WHICH$'.\n;f黨rt zum Ereignis '$WHICH$'.;;obtendr?el suceso '$WHICH$'.\n;;;;;;;;;x
MODIFIER_REMOVED;$WHERE$的$WHAT$将被移除。\n;$WHAT$ sera supprim?de $WHERE$.\n;$WHAT$ wird entfernt aus $WHERE$.;;$WHAT$ se eliminar?de $WHERE$.\n;;;;;;;;;x
LAND_ATTRITION;陆军损耗;Attrition des unit閟 terrestres;Land-Verlustquote;;Desgaste terrestre;;;;;;;;;x
NAVAL_ATTRITION;海军损耗;Attrition des unit閟 navales;See-Verlustquote;;Desgaste naval;;;;;;;;;x
STARTED;已经开始;Commenc?Begonnen;; Iniciado ;;;;;;;;;x
WON;胜利;Gagn?Gewonnen;;Ganado;;;;;;;;;x
LOST;失败;Perdu;Verloren;;Perdido;;;;;;;;;x
YOU_LOST;你失败了;Vous avez perdu;Verloren;;Has perdido;;;;;;;;;X
YOU_WON;你胜利了;Vous avez gagn?Gewonnen;;Has ganado;;;;;;;;;X
OPTION_CHANGED;$FROM$改变为：$TO$;$FROM$ a chang?pour : $TO$;$FROM$ wurde ge鋘dert zu: $TO$;;$FROM$ ha cambiado a: $TO$;;;;;;;;;x
THE_YEAR_IS_BEFORE;在下列年份之前：;L'ann閑 est ant閞ieure ?Das Jahr ist vor;;El a駉 es anterior ;;;;;;;;;x
THE_YEAR_IS_AFTER;在下列年份之后：;L'ann閑 est post閞ieure ?Das Jahr ist nach;;El a駉 es posterior ;;;;;;;;;x
HAVE_LESS_THAN;少于;Ont moins de ;Weniger haben als;;Tiene menos de ;;;;;;;;;x
HAVE_MORE_THAN;至少为 ;Ont au moins;Mehr haben als;;Tiene al menos ;;;;;;;;;x
WAR_EXHAUSTION_MORE_THAN;厌战度至少为;L'閜uisement li??la guerre est au moins de;Kriegsm黡igkeit mehr als;;Agotamiento b閘ico de al menos ;;;;;;;;;x
WAR_EXHAUSTION_LESS_THAN;厌战度少于;L'閜uisement li??la guerre est inf閞ieur ?Kriegsm黡igkeit weniger als;;Agotamiento b閘ico inferior a ;;;;;;;;;x
HAVE_LESS_MANPOWER_THAN;人力少于 ;Ont moins de main-d挏uvre que;Mehr Mannst鋜ke haben als;;Tiene menos recursos humanos que ;;;;;;;;;x
HAVE_MORE_MANPOWER_THAN;人力至少为 ;Ont une main-d'渦vre d'au moins;Weniger Mannst鋜ke haben als;;Recursos humanos al menos ;;;;;;;;;x
HAVE_CONTROL_OVER;控制 ;Contr鬺ent;Kontrolle haben 黚er;;Control ;;;;;;;;;x
HAVENT_CONTROL_OVER;未控制 ;Ne contr鬺ent pas;Keine Kontrolle haben 黚er;;NO?controla ;;;;;;;;;x
HAVENT_CORE;在下列省份没有核心：;N'ont pas de province principale dans;Keine Kernprovinz haben in;;NO?tiene un n鷆leo en ;;;;;;;;;x
HAVE_CORE_IN;在下列省份有核心：;Ont une province principale dans;Kernprovinz haben in;;Tiene un n鷆leo en ;;;;;;;;;x
HAVE_LESS_CITIES_THAN;拥有的城市少于 ;Ont moins de villes que;Weniger St鋎te haben als;;Tiene menos ciudades que ;;;;;;;;;x
HAVE_MORE_CITIES_THAN;拥有城市至少为 ;Leur nombre de villes est au moins de;Mehr St鋎te haben als;;N鷐ero de ciudades al menos ;;;;;;;;;x
HAVE_LESS_PORTS_THAN;拥有的海港少于 ;Leur nombre de ports d'attache est inf閞ieur ?Weniger H鋐en haben als ;;Tiene menos puertos de origen que ;;;;;;;;;x
HAVE_MORE_PORTS_THAN;拥有的海港至少为 ;Leur nombre de ports d'attache est au moins de;Mehr H鋐en haben als ;;N鷐ero de puertos de origen al menos ;;;;;;;;;x
HAVE_LESS_ALLIES_THAN;盟友数少于 ;Ont moins d抋lli閟 que;Weniger Verb黱dete haben als;;Tiene menos aliados que ;;;;;;;;;x
HAVE_MORE_ALLIES_THAN;盟友数至少为 ;Leur nombre d'alli閟 est au moins de;Mehr Verb黱dete haben als;;N鷐ero de aliados al menos ;;;;;;;;;x
IS_ENABLED; 可用; est activ?e); ist aktiviert;; est?activado;;;;;;;;;x
IS_DISABLED; 不可用; est d閟activ?e); ist deaktiviert;; est?desactivado;;;;;;;;;x
HAVE;拥有 ;Ont ;Haben ;;Tiene ;;;;;;;;;x
HAVE_NOT;没有 ;N'ont PAS;Nicht haben ;;NO?tiene ;;;;;;;;;x
HAS;拥有 ;A;Hat ;;Tiene ;;;;;;;;;x
HAS_NOT;没有 ;N'a PAS;Hat nicht ;;NO?tiene ;;;;;;;;;x
EXISTS; 存在; existe; existiert;; existe;;;;;;;;;x
DOSNT_EXISTS; 不存在; n'existe PAS; existiert nicht;; NO?existe;;;;;;;;;x
DO_NOT_HAVE_A;没有一个 ;N'a pas de;Nichtverf黦ung 黚er;;NO tiene ;;;;;;;;;x
HAVE_A;有一个 ;A un(e) ;Verf黦ung;;Tiene ;;;;;;;;;x
HAVE_LESS_PROVINCE_THAT_PRODUCES_THEN;生产$GOODS$的省份少于 ;Ont moins de provinces produisant $GOODS$ que;Weniger Provinzen mit Produktion von $GOODS$ haben als;;Menos provincias productoras de $GOODS$ que ;;;;;;;;;x
HAVE_MORE_PROVINCE_THAT_PRODUCES_THEN;生产$GOODS$的省份至少为 ;Le nombre de provinces produisant $GOODS$ est au moins de;Mehr Provinzen mit Produktion von $GOODS$ haben als;;Provincias productoras de $GOODS$ al menos ;;;;;;;;;x
HAVE_AT_LEST_ONE_OWNED_NEIGHBORING_PROVINCE;至少拥有如下一个临近省份：;D閠iennent au moins une province voisine telle que :;Mindestens eine besetzte Nachbarprovinz;;Tiene al menos una provincia adyacente como:;;;;;;;;;x
HAVE_NO_OWNED_NEIGHBORING_PROVINCE;没有拥有如下一个临近省份：;Ne d閠iennent pas de province voisine telle que :;Keine besetzte Nachbarprovinz;;No tiene provincias adyacentes como:;;;;;;;;;x
DO_NOT_OWN;没有 ;Ne poss鑔e PAS;Kein Besitz von;;NO?tiene ;;;;;;;;;x
OWNS;拥有 ;Poss鑔e;Besitz von;;Tiene ;;;;;;;;;
DO_NOT_CONTROL;未控制 ;Ne contr鬺e PAS;Keine Kontrolle 黚er;;NO?controla ;;;;;;;;;
CONTROLS;控制 ;Contr鬺e;Kontrolliert;;Controla ;;;;;;;;;x
IS_NOT;不 ;N'est PAS;ist NICHT;;NO?es ;;;;;;;;;x
IS;是;Est;ist;;ES ;;;;;;;;;x
HAVE_THE_MODIFIER;有修正效果：;Ont le modificateur;Verf黦ung 黚er den Modifikator;;Tiene el modificador ;;;;;;;;;x
DONT_HAVE_THE_MODIFIER;没有修正效果：;N'ont PAS le modificateur;Nichtverf黦ung 黚er den Modifikator;;NO tiene el modificador ;;;;;;;;;x
