xxxx;;;;;;;;;;;;;;x
paternal_autocrat_HON;¹ú¼Òµ³;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_conservative_HON;ºé¶¼À­Ë¹»ù¶½ÃñÖ÷µ³;Partido Demócrata Cristiano de Honduras;Partido Demócrata Cristiano de Honduras;;Partido Demócrata Cristiano de Honduras;;;;;;;;;;x
market_liberal_HON;ºé¶¼À­Ë¹×ÔÓÉµ³;Partido Liberal de Honduras;Partido Liberal de Honduras;;Partido Liberal de Honduras;;;;;;;;;;x
social_liberal_HON;ÃñÖ÷ÁªÃËµ³;Partido Unificación Democrática;Partido Unificación Democrática;;Partido Unificación Democrática;;;;;;;;;;x
social_democrat_HON;Éç»áÃñÖ÷µ³;Partido Innovación y Unidad;Partido Innovación y Unidad;;Partido Innovación y Unidad;;;;;;;;;;x
left_wing_radical_HON;ºé¶¼À­Ë¹¸ïÃüµ³;Partido Revolucionario Hondureño;Partido Revolucionario Hondureño;;Partido Revolucionario Hondureño;;;;;;;;;;x
leninist_HON;ÈËÃñÁ¦Á¿¸ïÃüµ³;Fuerzas Populares Revolucionarias;Fuerzas Populares Revolucionarias;;Fuerzas Populares Revolucionarias;;;;;;;;;;x
stalinist_HON;ºé¶¼À­Ë¹¹²²úµ³;Partido Comunista de Honduras;Partido Comunista de Honduras;;Partido Comunista de Honduras;;;;;;;;;;x
national_socialist_HUN;ĞÙÑÀÀû¹ú¼ÒÉç»áÖ÷Òåµ³;HNSP;HNSP;;HNSP;;;;;;;;;;x
fascistic_HUN;¼ıÊ®×Öµ³;Parti de la croix fléchée;Pfeilkreuzlerpartei;;Partido de la Cruz Gamada;;;;;;;;;;x
paternal_autocrat_HUN;»ù¶½ÃñÖ÷ÈËÃñµ³;KDNP;KDNP;;KDNP;;;;;;;;;;x
social_conservative_HUN;¹«Ãñ×ÔÓÉµ³;FKFPP;FKFPP;;FKFPP;;;;;;;;;;x
market_liberal_HUN;¹ú¼ÒÃñÖ÷µ³;NZP;NZP;;NZP;;;;;;;;;;x
social_liberal_HUN;Éç»á×ÔÓÉµ³;PS;PS;;PS;;;;;;;;;;x
social_democrat_HUN;ĞÙÑÀÀûÉç»áÃñÖ÷µ³;MSZDP;MSZDP;;MSZDP;;;;;;;;;;x
left_wing_radical_HUN;ĞÙÑÀÀûÀÍ¹¤µ³;MDP;MDP;;MDP;;;;;;;;;;x
leninist_HUN;ĞÙÑÀÀûÉç»áÖ÷Òå¹¤ÈËµ³;MSzMP;MSzMP;;MSzMP;;;;;;;;;;x
stalinist_HUN;ĞÙÑÀÀû¹²²úµ³;KMP;KMP;;KMP;;;;;;;;;;x
national_socialist_ICL;¹ú¼ÒÉç»áÖ÷Òåµ³;Flokkur Thjóedernissinna Sósíalista;Flokkur Thjóedernissinna Sósíalista;;Flokkur Thjóedernissinna Sósíalista;;;;;;;;;;x
fascistic_ICL;·¨Î÷Ë¹ÁªÃË;Flokkur Thjóedernissinna;Flokkur Thjóedernissinna;;Flokkur Thjóedernissinna;;;;;;;;;;x
paternal_autocrat_ICL;¶À²ÃÖ÷Òå;Thjódevarnarflokkurinn;Thjódevarnarflokkurinn;;Thjódevarnarflokkurinn;;;;;;;;;;x
social_conservative_ICL;Éç»á±£ÊØÖ÷Òå;Sjálfstaedeisflokkurinn;Sjálfstaedeisflokkurinn;;Sjálfstaedeisflokkurinn;;;;;;;;;;x
market_liberal_ICL;Ã³Ò××ÔÓÉÖ÷Òå;Frjálslyndi flokkurinn;Frjálslyndi flokkurinn;;Frjálslyndi flokkurinn;;;;;;;;;;x
social_liberal_ICL;Éç»á×ÔÓÉÖ÷Òå;Framsóknarflokkurinn;Framsóknarflokkurinn;;Framsóknarflokkurinn;;;;;;;;;;x
social_democrat_ICL;Éç»áÃñÖ÷µ³;Althıeduflokkur;Althıeduflokkur;;Althıeduflokkur;;;;;;;;;;x
left_wing_radical_ICL;×óÒí¼¤½øÖ÷Òå;Sósíalistaflokkurinn;Sósíalistaflokkurinn;;Sósíalistaflokkurinn;;;;;;;;;;x
leninist_ICL;ÁĞÄşÖ÷Òå¹²²úµ³;Jafnaedarmannafélagied Sparta;Jafnaedarmannafélagied Sparta;;Jafnaedarmannafélagied Sparta;;;;;;;;;;x
stalinist_ICL;±ùµº¹²²úµ³;Kommúnistaflokkur Íslands;Kommúnistaflokkur Íslands;;Kommúnistaflokkur Íslands;;;;;;;;;;x
national_socialist_IDC;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_IDC;·¨Î÷Ë¹ÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_IDC;¹ú¼ÒÖ÷Òåµ³;Parti nationaliste;Nationalistische Partei;;Partido Nacionalista;;;;;;;;;;x
social_conservative_IDC;±£ÊØµ³;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_IDC;Ó¡¶ÈÖ§ÄÇÃñÖ÷µ³;Parti démocratique indochinois;Demokratische Partei Indochinas;;Partido Democrático de Indochina;;;;;;;;;;x
social_liberal_IDC;Ó¡¶ÈÖ§ÄÇÈËÃñµ³;Parti populiste indochinois;Indochinesische Populistenpartei;;Partido Populista de Indochina;;;;;;;;;;x
social_democrat_IDC;Éç»áÃñÖ÷µ³;Parti social démocrate;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_IDC;Ó¡¶ÈÖ§ÄÇ¹²²úµ³;Parti communiste indochinois;Kommunistische Partei Indochinas;;Partido Comunista Indochino;;;;;;;;;;x
leninist_IDC;Ó¡¶ÈÖ§ÄÇ¹²²úµ³;Parti communiste d'Indochine;Kommunistische Partei Indochinas;;Partido Comunista de Indochina;;;;;;;;;;x
stalinist_IDC;ºìÉ«¸ßÃŞ;Khmer Rouge;Khmer Rouge;;Khmer Rojo;;;;;;;;;;x
national_socialist_IND;Ó¡¶È¹úÃñ¾ü;Armée nationale indienne;Indische Nationalarmee;;Ejército Nacional de la India;;;;;;;;;;x
fascistic_IND;Ó¡¶È¶ÀÁ¢ÁªÃË;Ligue indienne pour l'indépendance;Indische Unabhängigkeitsliga;;Liga Independentista de la India;;;;;;;;;;x
paternal_autocrat_IND;¼ªÀ­·¨ÌØÔË¶¯;Mouvement Khifalat;Khilafat-Bewegung;;Movimiento Khilafat;;;;;;;;;;x
social_conservative_IND;ÄÂË¹ÁÖÁªÃË;Ligue musulmane;Muslimische Liga;;Liga Musulmana;;;;;;;;;;x
market_liberal_IND;Ó¡¶ÈÈËÃñµ³;Parti Bharatiya Jana;Bharatiya Janata-Partei;;Partido Bharatiya Janata;;;;;;;;;;x
social_liberal_IND;Ó¡¶ÈÉç»áÃñÖ÷µ³;Parti Bahujan Samaj;Bahujan Samaj-Partei;;Partido Bahujan Samaj;;;;;;;;;;x
social_democrat_IND;´ó»áµ³;Parti du Congrès;Kongresspartei;;Partido del Congreso;;;;;;;;;;x
left_wing_radical_IND;¼Ó´ïµ³;Parti Ghadar;Ghadar-Partei;;Partido Ghadar;;;;;;;;;;x
leninist_IND;¹¤Å©µ³;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_IND;Ó¡¶È¹²²úµ³;Parti communiste indien;Kommunistische Partei Indiens;;Partido Comunista de la India;;;;;;;;;;x
national_socialist_INO;Ó¡ÄáÀ­ÑÅµ³;Partai Indonesia Raya;Partai Indonesia Raya;;Partai Indonesia Raya;;;;;;;;;;x
fascistic_INO;Ó¡Äá·¨Î÷Ë¹µ³;BPUPKI;BPUPKI;;BPUPKI;;;;;;;;;;x
paternal_autocrat_INO;Ó¡Äá¹ú¼Òµ³;Partai Nasional Indonesia;Partai Nasional Indonesia;;Partai Nasional Indonesia;;;;;;;;;;x
social_conservative_INO;Ó¡Äá»ù¶½µ³;Partai Kristen Indonesia;Partai Kristen Indonesia;;Partai Kristen Indonesia;;;;;;;;;;x
market_liberal_INO;Ó¡ÄáÈËÃñ¶ÀÁ¢µ³;Partai Rakyat Indonesia Merdeka;Partai Rakyat Indonesia Merdeka;;Partai Rakyat Indonesia Merdeka;;;;;;;;;;x
social_liberal_INO;ÈËÃñ¹ú¼Òµ³;Partai Rakyat Nasional;Partai Rakyat Nasional;;Partai Rakyat Nasional;;;;;;;;;;x
social_democrat_INO;Ó¡ÄáÉç»áÖ÷Òåµ³;Partai Sosialis Indonesia;Partai Sosialis Indonesia;;Partai Sosialis Indonesia;;;;;;;;;;x
left_wing_radical_INO;Ó¡Äá¹²²úµ³;ISDV;ISDV;;ISDV;;;;;;;;;;x
leninist_INO;ÁĞÄşÖ÷Òå¹²²úµ³;Gerindo;Gerindo;;Gerindo;;;;;;;;;;x
stalinist_INO;Ó¡ÄáË¹´óÁÖÖ÷Òå¹²²úµ³;Partai Komunis Indonesia;Partai Komunis Indonesia;;Partai Komunis Indonesia;;;;;;;;;;x
national_socialist_IRE;°®¶ûÀ¼¹ú¼Ò°¦Éç»áÖ÷Òåµ³;Parti national socialiste irlandais;Irish National Socialist Party;;Partido Nacionalsocialista Irlandés;;;;;;;;;;x
fascistic_IRE;¹ú´óµ³;NCP;NCP;;NCP;;;;;;;;;;x
paternal_autocrat_IRE;¸Ç¶ûÍ³Ò»ÕóÏß;Front gaélique uni;United Gaelic Front;;Frente Gaélico Unido;;;;;;;;;;x
social_conservative_IRE;Í³Ò»µ³;Fine Gael;Fine Gael;;Fine Gael;;;;;;;;;;x
market_liberal_IRE;¹²ºÍµ³;Fianna Fáil;Fianna Fáil;;Fianna Fáil;;;;;;;;;;x
social_liberal_IRE;×ÔÓÉµ³;Parti libéral ;Liberal Party;;Partido Liberal;;;;;;;;;;x
social_democrat_IRE;Éç»áÃñÖ÷ÀÍ¹¤µ³;Páirtí an Lucht Oibre;Páirtí an Lucht Oibre;;Páirtí an Lucht Oibre;;;;;;;;;;x
left_wing_radical_IRE;°®¶ûÀ¼¹¤ÈËµ³;Sinn Féin;Sinn Féin;;Sinn Féin;;;;;;;;;;x
leninist_IRE;Éç»áµ³;Parti socialiste;Socialist Party;;Partido Socialista;;;;;;;;;;x
stalinist_IRE;°®¶ûÀ¼¹²²úµ³;CPI;CPI;;CPI;;;;;;;;;;x
national_socialist_IRQ;°¢À­²®¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista Árabe;;;;;;;;;;x
fascistic_IRQ;°¢À­²®·¨Î÷Ë¹ÕóÏß;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista Árabe;;;;;;;;;;x
paternal_autocrat_IRQ;¹şÉ£Íõ×å;Les Hachémites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_IRQ;ÒÁË¹À¼ºÅÕÙµ³;Parti islamique Dawa;Islamic Dawa-Partei;;Partido Islámico Dawa;;;;;;;;;;x
market_liberal_IRQ;¸Ä¸ïµ³;Parti réformateur;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_IRQ;°¢À­²®ÃñÖ÷Í³Ò»µ³;Parti unioniste démocratique arabe;Demokratische Einheitspartei Arabiens;;Partido Árabe Unionista Democrático;;;;;;;;;;x
social_democrat_IRQ;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista Árabe;;;;;;;;;;x
left_wing_radical_IRQ;ÒÁÀ­¿Ë¹¤ÈË¹²²úÖ÷Òåµ³;Parti communiste des travailleurs iraquiens;Kommunistische Arbeiterpartei Irak;;Partido Iraquí de los Trabajadores Comunistas;;;;;;;;;;x
leninist_IRQ;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_IRQ;ÒÁÀ­¿Ë¹²²úµ³;Parti communiste iraquien;Kommunistische Partei Irak;;Partido Comunista de Irak;;;;;;;;;;x
national_socialist_ISR;¹ú¼ÒÉç»áÖ÷Òåµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_ISR;·¨Î÷Ë¹ÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_ISR;Ï£Â³ÌØÔË¶¯;Herut;Herut;;Herut;;;;;;;;;;x
social_conservative_ISR;ÒÔÉ«ÁĞÁªÃË;Agudat Israel;Agudat Yisrael;;Agudat Yisrael;;;;;;;;;;x
market_liberal_ISR;ÒÔÉ«ÁĞ×ÔÓÉµ³;Miflega Libralit Yisraelit;Miflega Libralit Yisraelit;;Miflega Libralit Yisraelit;;;;;;;;;;x
social_liberal_ISR;ÓÌÌ«¸´ĞË×éÖ¯;Tzionim Klalim;Tzionim Klalim;;Tzionim Klalim;;;;;;;;;;x
social_democrat_ISR;ÒÔÉ«ÁĞÀÍ¹¤µ³;Mifleget HaAvoda HaYisraelit;Mifleget HaAvoda HaYisraelit;;Mifleget HaAvoda HaYisraelit;;;;;;;;;;x
left_wing_radical_ISR;Õ½Ê¿ÁªÃË;Reshimat HaLokhmim;Reshimat HaLokhmim;;Reshimat HaLokhmim;;;;;;;;;;x
leninist_ISR;ÓÌÌ«¹²²úµ³;Komunistim Ivrim;Komunistim Ivrim;;Komunistim Ivrim;;;;;;;;;;x
stalinist_ISR;ÒÔÉ«ÁĞ¹²²úµ³;HaMiflega HaKomunistit HaYisraelit;HaMiflega HaKomunistit HaYisraelit;;HaMiflega HaKomunistit HaYisraelit;;;;;;;;;;x
national_socialist_ITA;¹ú¼ÒÉç»áÖ÷Òå¹¤ÈËµ³;NSIWP;NSIWP;;NSIWP;;;;;;;;;;x
fascistic_ITA;¹ú¼Ò·¨Î÷Ë¹µ³;PNF;PNF;;PNF;;;;;;;;;;x
paternal_autocrat_ITA;¹ú¼Ò¶ÀÁ¢ÁªÃË;ANI;ANI;;ANI;;;;;;;;;;x
social_conservative_ITA;Òâ´óÀûÈËÃñµ³;IPP;IPP;;IPP;;;;;;;;;;x
market_liberal_ITA;Òâ´óÀûÈËÃñ¸ïÃüµ³;PRI;PRI;;PRI;;;;;;;;;;x
social_liberal_ITA;Éç»á×ÔÓÉµ³;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_ITA;ÍßÀ³´ï°ÂË¹Ëş¼¯ÍÅ;PSU;PSU;;PSU;;;;;;;;;;x
left_wing_radical_ITA;¹ú¼ÒÕóÏß;FN;FN;;FN;;;;;;;;;;x
leninist_ITA;ÈıÉ«ÆìÔË¶¯µ³;PTI;PTI;;PTI;;;;;;;;;;x
stalinist_ITA;Òâ´óÀû¹²²úµ³;PCI;PCI;;PCI;;;;;;;;;;x
national_socialist_JAP;´óÕşÒíÙm»á;Association d'aide au régime impérial;Kaiserliche Hilfsgesellschaft;;Asociación de Asistencia al Gobierno Imperial;;;;;;;;;;x
fascistic_JAP;¹úÃñÍ¬ÃË;Kokumin Domei;Kokumin Domei;;Kokumin Domei;;;;;;;;;;x
paternal_autocrat_JAP;ÕÆÈ¨ÅÉ;Clique de contrôle;Kontrollclique;;Control Clique;;;;;;;;;;x
social_conservative_JAP;ÕşÓÑ»áµ³;Seiyukai Party;Seiyukai-Partei;;Partido Seiyukai;;;;;;;;;;x
market_liberal_JAP;ÃñÉúµ³;Minsei Party;Minsei-Partei;;Partido Minsei;;;;;;;;;;x
social_liberal_JAP;Á¢ÏÜÕşÓÑ»á;Rikken Seiyukai;Rikken Seiyukai;;Rikken Seiyukai;;;;;;;;;;x
social_democrat_JAP;Éç»á´óÖÚµ³;Shakai Taishuto;Shakai Taishuto;;Shakai Taishuto;;;;;;;;;;x
left_wing_radical_JAP;ÈÕ±¾ÎŞ²úµ³;Nihon Musanto;Nihon Musanto;;Nihon Musanto;;;;;;;;;;x
leninist_JAP;ÈÕ±¾Éç»áµ³;Nippon Shakaito;Nippon Shakaito;;Nippon Shakaito;;;;;;;;;;x
stalinist_JAP;ÈÕ±¾¹²²úµ³;JCP;JKP;;JCP;;;;;;;;;;xnational_socialist_JOR;Arab National Socialist Party;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista Árabe;;;;;;;;;;x
national_socialist_JOR;°¢À­²®¹úÉçµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista ¨¢rabe;;;;;;;;;;x
fascistic_JOR;°¢À­²®·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste arabe;Faschistische Front;;Frente Fascista ¨¢rabe;;;;;;;;;;x
paternal_autocrat_JOR;¹şÉ£Íõ×å;Les Hach¨¦mites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_JOR;ÄÂË¹ÁÖĞÖµÜ»á;Parti islamique Dawa;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_JOR;¸Ä¸ïµ³;Parti r¨¦formateur;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_JOR;°¢À­²®ÃñÖ÷ÁªÃËµ³;Parti unioniste d¨¦mocratique arabe;Demokratische Einheitspartei Arabiens;;Parido ¨¢rabe Unionista Democr¨¢tico;;;;;;;;;;x
social_democrat_JOR;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Uni¨®n Socialista ¨¢rabe;;;;;;;;;;x
left_wing_radical_JOR;¹²²úÖ÷Òå¹¤ÈËµ³;Parti communiste des travailleurs jordaniens;Kommunistische Arbeiterpartei;;Partido Comunista de los Trabajadores;;;;;;;;;;x
leninist_JOR;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_JOR;Ô¼µ©¹²²úµ³;Parti communiste jordanien;Kommunistische Partei Jordaniens;;Partido Comunista de Jordania;;;;;;;;;;x
national_socialist_KOR;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_KOR;·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_KOR;ÃñÖ÷¹²ºÍµ³;Parti r¨¦publicain d¨¦mocratique;Demokratische Republikanerpartei;;Partido Democr¨¢tico Republicano;;;;;;;;;;x
social_conservative_KOR;ÃñÖ÷ÕıÒåµ³;Parti d¨¦mocratique de la justice;Demokratische Gerechtigkeitspartei;;Partido de la Justicia Democr¨¢tica;;;;;;;;;;x
market_liberal_KOR;×ÔÓÉµ³;Parti lib¨¦ral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_KOR;ÃñÖ÷µ³;Parti d¨¦mocratique;Demokratische Partei;;Partido Dem¨®crata;;;;;;;;;;x
social_democrat_KOR;ÃñÖ÷ÀÍ¶¯µ³;Parti travailliste d¨¦mocratique;Demokratische Arbeiterpartei;;Partido Dem¨®crata Laborista;;;;;;;;;;x
left_wing_radical_KOR;³¯ÏÊÈËÃñµ³;Parti du peuple cor¨¦en;Koreanische Volkspartei;;Partido del Pueblo de Corea;;;;;;;;;;x
leninist_KOR;³¯ÏÊ¹²²úµ³;Parti communiste cor¨¦en;Kommunistische Partei Koreas;;Partido Comunista de Corea;;;;;;;;;;x
stalinist_KOR;³¯ÏÊ¹¤ÈËµ³;Parti des travailleurs cor¨¦ens;Koreanische Arbeiterpartei;;Partido de los Trabajadores de Corea;;;;;;;;;;x
national_socialist_LAT;Ãñ×åÁªÃË;Nacionala Savieniba;Nacionala Savieniba;;Nacionala Savieniba;;;;;;;;;;x
fascistic_LAT;¾üÍÅµ³;La L¨¦gion;Die Legion;;La Legi¨®n;;;;;;;;;;x
paternal_autocrat_LAT;À­ÍÑÎ¬ÑÇÅ©ÃñÁªÃË;LZs;LZs;;LZs;;;;;;;;;;x
social_conservative_LAT;ÈËÃñµ³;Tautas Partija;Tautas Partija;;Tautas Partija;;;;;;;;;;x
market_liberal_LAT;LNP;À­ÍÑÎ¬ÑÇ¹ú¼Òµ³;LNP;;LNP;;;;;;;;;;x
social_liberal_LAT;ÃñÖ÷´ó»á;Demokratiskais Bloks;Demokratiskais Bloks;;Demokratiskais Bloks;;;;;;;;;;x
social_democrat_LAT;À­ÍÑÎ¬ÑÇÉç»áÃñÖ÷¹¤ÈËµ³;LSD;LSD;;LSD;;;;;;;;;;x
left_wing_radical_LAT;Éç»áÃñÖ÷ÁªÃË;SDs;SDs;;SDs;;;;;;;;;;x
leninist_LAT;À­ÍÑÎ¬ÑÇÉç»áÃñÖ÷ÀÍ¶¯µ³;LSDSP;LSDSP;;LSDSP;;;;;;;;;;x
stalinist_LAT;À­ÍÑÎ¬ÑÇ¹²²úµ³;LKP;LKP;;LKP;;;;;;;;;;x
national_socialist_LEB;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_LEB;Ñ©ËÉÊØ»¤Õßµ³;Gardiens des c¨¨dres;W?chter der Zedern;;Guardianes de los Cedros;;;;;;;;;;x
paternal_autocrat_LEB;³¤Ç¹µ³;Parti Kataeb;Kataeb-Partei;;Partido Kataeb;;;;;;;;;;x;
social_conservative_LEB;ÑÇÀ¼ÃñÖ÷×éÖ¯;Organisation d¨¦mocratique aram¨¦enne;Aram?ische Demokratische Organisation;;Organizaci¨®n Democr¨¢tica Aramea;;;;;;;;;;;x
market_liberal_LEB;Àè°ÍÄÛ¹²ºÍµ³;Parti r¨¦publicain libanais;Republikanische Partei Libanon;;Partido Republicano Liban¨¦s;;;;;;;;;;x;
social_liberal_LEB;Àè°ÍÄÛÃñÖ÷µ³;Parti d¨¦mocratique libanais;Demokratische Partei Libanon;;Partido Dem¨®crata Liban¨¦s;;;;;;;;;;x;
social_democrat_LEB;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Uni¨®n Socialista ¨¢rabe;;;;;;;;;;x;
left_wing_radical_LEB;¹¤ÈËÍ¬ÃË;Ligue des travailleurs;Arbeiterliga;;Liga de los Trabajadores;;;;;;;;;;x;
leninist_LEB;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x;
stalinist_LEB;Àè°ÍÄÛ¹²²úµ³;Parti communiste libanais;Kommunistische Partei Libanon;;Partido Comunista Liban¨¦s;;;;;;;;;;x;
national_socialist_LIB;Àû±ÈÀïÑÇ¹úÉçµ³;Parti national socialiste lib¨¦rien;Nationalsozialistische Partei Liberias;;Partido Nacionalsocialista Liberiano;;;;;;;;;;x;
fascistic_LIB;Àû±ÈÀïÑÇ·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste lib¨¦rien;Faschistische Front Liberias;;Frente Fascista Liberiano;;;;;;;;;;x;
paternal_autocrat_LIB;Àû±ÈÀïÑÇ»Ô¸ñµ³;Parti lib¨¦ral lib¨¦rien;True Whig Party;;Partido Whig Liberiano;;;;;;;;;;x;
social_conservative_LIB;Àû±ÈÀïÑÇ±£ÊØµ³;Parti conservateur lib¨¦rien;Konservative Partei Liberias;;Partido Conservador Liberiano;;;;;;;;;;x;
market_liberal_LIB;×ÔÓÉµ³;Parti de la libert¨¦;Freiheitspartei;;Partido de la Libertad;;;;;;;;;;x;
social_liberal_LIB;Àû±ÈÀïÑÇ¹ú¼ÒÃñÖ÷µ³;Parti national d¨¦mocratique lib¨¦rien;Nationaldemokratische Partei Liberias;;Partido Nacional Dem¨®crata de Liberia;;;;;;;;;;x;
social_democrat_LIB;Àû±ÈÀïÑÇÀÍ¶¯µ³;Parti travailliste lib¨¦rien;Liberianische Arbeiterpartei;;Partido Laborista de Liberia;;;;;;;;;;x;
left_wing_radical_LIB;Ç°½øÈËÃñµ³;Parti populaire progressiste;Fortschritts-Volkpartei;;Partido Progresista del Pueblo;;;;;;;;;;x;
leninist_LIB;Àû±ÈÀïÑÇ¸ïÃüµ³;Parti r¨¦volutionnaire lib¨¦rien;Liberianische Revolutionspartei;;Partido Revolucionario Liberiano;;;;;;;;;;x
stalinist_LIB;Àû±ÈÀïÑÇ¹²²úµ³;Parti communiste lib¨¦rien;Kommunistische Partei Liberias;;Partido Comunista de Liberia;;;;;;;;;;x
national_socialist_LIT;VLNSS;VLNSS;VLNSS;;VLNSS;;;;;;;;;;x
fascistic_LIT;Á¢ÌÕÍğ¹ú¼Òµ³;LTS;LTS;;LTS;;;;;;;;;;x
paternal_autocrat_LIT;Á¢ÌÕÍğ¹ú¼Òµ³;LTS;LTS;;LTS;;;;;;;;;;x
social_conservative_LIT;Á¢ÌÕÍğ»ù¶½½ÌÃñÖ÷µ³;LKD;LKD;;LKD;;;;;;;;;;x
market_liberal_LIT;Ãñ×å¸´ĞËµ³;TPP;TPP;;TPP;;;;;;;;;;x
social_liberal_LIT;Á¢ÌÕÍğÀÍ¶¯µ³;LDP;LDP;;LDP;;;;;;;;;;x
social_democrat_LIT;Á¢ÌÕÍğÉç»áÃñÖ÷µ³;LSDP;LSDP;;LSDP;;;;;;;;;;x
left_wing_radical_LIT;Á¢ÌÕÍğ´óÖÚÉç»áÃñÖ÷µ³;LSLDP;LSLDP;;LSLDP;;;;;;;;;;x
leninist_LIT;Á¢ÌÕÍğ-°×¶íÂŞË¹¹²²úµ³;LBKP;LBKP;;LBKP;;;;;;;;;;x
stalinist_LIT;Á¢ÌÕÍğ¹²²úµ³P;LKP;LKP;;LKP;;;;;;;;;;x
national_socialist_LUX;µÂÒâÖ¾ÈËÃñÔË¶¯;Volksdeutsche Bewegung;Volksdeutsche Bewegung;;Volksdeutsche Bewegung;;;;;;;;;;x
fascistic_LUX;¹ú¼Ò¶ÀÁ¢µ³;Onofh?ngeg Nationalpartei;Onofh?ngeg Nationalpartei;;Onofh?ngeg Nationalpartei;;;;;;;;;;x
paternal_autocrat_LUX;È¨Àûµ³;Rietspartei;Rietspartei;;Rietspartei;;;;;;;;;;x
social_conservative_LUX;»ù¶½½ÌÉç»áÈËÃñµ³;CSV;CSV;;CSV;;;;;;;;;;x
market_liberal_LUX;×ÔÓÉÁªÃË;Liberal Liga;Liberal Liga;;Liberal Liga;;;;;;;;;;x
social_liberal_LUX;¼¤½ø×ÔÓÉµ³;Radikal-Liberal Partei;Radikal-Liberal Partei;;Radikal-Liberal Partei;;;;;;;;;;x
social_democrat_LUX;LAP;LAP;LAP;;LAP;;;;;;;;;;x
left_wing_radical_LUX;¸ïÃüÉç»áµ³;RSP;RSP;;RSP;;;;;;;;;;x
leninist_LUX;KBL;KBL;Â¬É­±¤¹²²úÁªÃË;;KBL;;;;;;;;;;x
stalinist_LUX;KPL;Â¬É­±¤¹²²úµ³;KPL;;KPL;;;;;;;;;;x
national_socialist_MAN;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_MAN;È«¶íÂŞ·¨Î÷Ë¹µ³;Parti fasciste russe;Gesamtrussische faschistische Partei;;Partido Fascista de Todos los Rusos;;;;;;;;;;x
paternal_autocrat_MAN;ÂúÖŞ¹úĞ­ºÍ»á;Association pour la concorde;Ky?wakai-Bund;;La Asociaci¨®n Concordia;;;;;;;;;;x
social_conservative_MAN;¾ıÖ÷µ³;Parti monarchique;Monarchiepartei;;Partido Mon¨¢rquico;;;;;;;;;;x
market_liberal_MAN;×ÔÓÉÁªÃË;Union lib¨¦rale;Liberale Union;;Uni¨®n Liberal;;;;;;;;;;x
social_liberal_MAN;Éç»á×ÔÓÉµ³;Parti social lib¨¦ral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
